,time,open,high,low,close,tick_volume,spread,real_volume
291,2021-02-17,1793.88,1795.16,1769.54,1776.16,198597,0,0
292,2021-02-18,1776.07,1789.66,1768.39,1775.73,194165,0,0
293,2021-02-19,1776.96,1791.63,1760.64,1783.36,201782,0,0
294,2021-02-22,1784.18,1812.66,1780.66,1809.69,208727,0,0
295,2021-02-23,1810.4,1815.99,1795.59,1805.53,188668,0,0
296,2021-02-24,1806.15,1813.85,1783.62,1804.8,207792,0,0
297,2021-02-25,1803.98,1804.3,1765.48,1769.94,279824,0,0
298,2021-02-26,1770.49,1775.78,1717.22,1734.28,298029,0,0
299,2021-03-01,1735.92,1759.83,1719.71,1724.6,223623,0,0
300,2021-03-02,1723.74,1739.14,1707.21,1738.14,212287,0,0
301,2021-03-03,1738.31,1740.55,1701.93,1710.78,204088,0,0
302,2021-03-04,1711.9,1723.23,1690.59,1697.78,247965,0,0
303,2021-03-05,1697.93,1707.71,1687.28,1700.44,229641,0,0
304,2021-03-08,1705.95,1714.3,1676.81,1683.35,231472,0,0
305,2021-03-09,1683.68,1720.66,1680.11,1715.73,198682,0,0
306,2021-03-10,1715.55,1726.78,1708.19,1726.67,181148,0,0
307,2021-03-11,1726.38,1739.86,1719.26,1722.59,173539,0,0
308,2021-03-12,1722.03,1729.26,1699.22,1728.03,186654,0,0
309,2021-03-15,1729.75,1734.57,1721.68,1731.74,155396,0,0
310,2021-03-16,1731.75,1741.22,1726.15,1731.57,149881,0,0
311,2021-03-17,1731.93,1751.63,1724.02,1745.18,164470,0,0
312,2021-03-18,1747.91,1755.51,1719.23,1736.44,201201,0,0
313,2021-03-19,1735.16,1746.72,1728.4,1745.36,167283,0,0
314,2021-03-22,1743.95,1744.41,1727.35,1738.9,156476,0,0
315,2021-03-23,1739.58,1742.56,1724.69,1726.96,154223,0,0
316,2021-03-24,1727.11,1738.52,1724.01,1734.14,136081,0,0
317,2021-03-25,1734.42,1745.5,1721.77,1726.53,159498,0,0
318,2021-03-26,1727.37,1736.75,1721.55,1732.47,131048,0,0
319,2021-03-29,1732.55,1732.89,1705.75,1711.92,132401,0,0
320,2021-03-30,1712.67,1714.43,1678.77,1684.85,166582,0,0
321,2021-03-31,1684.9,1715.31,1677.89,1707.39,155361,0,0
322,2021-04-01,1707.04,1730.5,1705.76,1729.77,141913,0,0
323,2021-04-05,1727.63,1733.56,1721.31,1728.27,103910,0,0
324,2021-04-06,1728.26,1745.5,1727.17,1743.36,127486,0,0
325,2021-04-07,1742.81,1744.34,1730.62,1737.61,121022,0,0
326,2021-04-08,1738.24,1758.7,1733.15,1755.48,121151,0,0
327,2021-04-09,1755.54,1757.35,1731.23,1743.86,128082,0,0
328,2021-04-12,1743.59,1745.08,1727.39,1732.81,122412,0,0
329,2021-04-13,1733.06,1748.95,1723.73,1745.39,135753,0,0
330,2021-04-14,1746.05,1749.38,1732.61,1736.34,120928,0,0
331,2021-04-15,1736.58,1769.68,1734.35,1763.63,129537,0,0
332,2021-04-16,1763.73,1783.87,1759.81,1776.93,132641,0,0
333,2021-04-19,1776.91,1790.06,1766.75,1771.38,117658,0,0
334,2021-04-20,1771.06,1780.47,1763.65,1778.75,101227,0,0
335,2021-04-21,1778.07,1797.68,1776.24,1793.69,87043,0,0
336,2021-04-22,1794.08,1797.85,1777.41,1784.1,92247,0,0
337,2021-04-23,1783.85,1796.03,1769.99,1776.56,87412,0,0
338,2021-04-26,1775.4,1783.54,1768.72,1781.33,83984,0,0
339,2021-04-27,1781.19,1785.56,1773.72,1776.57,81058,0,0
340,2021-04-28,1776.69,1782.59,1762.6,1781.73,91311,0,0
341,2021-04-29,1781.56,1789.97,1756.09,1771.96,87455,0,0
342,2021-04-30,1772.42,1773.63,1764.25,1768.88,84394,0,0
343,2021-05-03,1766.81,1797.92,1766.04,1793.0,77542,0,0
344,2021-05-04,1792.2,1799.11,1770.89,1778.71,92969,0,0
345,2021-05-05,1778.19,1788.0,1770.36,1786.91,73908,0,0
346,2021-05-06,1787.09,1818.11,1781.98,1814.91,90270,0,0
347,2021-05-07,1814.64,1843.29,1812.84,1831.38,98897,0,0
348,2021-05-10,1833.15,1845.54,1830.02,1835.7,99062,0,0
349,2021-05-11,1836.02,1841.86,1818.12,1837.42,107410,0,0
350,2021-05-12,1836.96,1843.71,1813.25,1815.42,115120,0,0
351,2021-05-13,1815.35,1828.77,1808.75,1826.46,106009,0,0
352,2021-05-14,1826.41,1845.74,1819.74,1843.34,88162,0,0
353,2021-05-17,1842.61,1868.48,1842.1,1866.8,90261,0,0
